asin,product_name,seller_name,brand,sales_price,discount_percentage,weight_grams,rating,delivery_type,meta_keywords,amazon_prime__y_or_n,rank,z-score
B07B2Y3J7L,Jkobi® Soft Textured Rubberised Back Case Cover For Tenor 10.or E -Light Blue,Stylabs,Jkobi,2.88,70,40.8,4.3,fulfilled_by_merchant,"Jkobi® Soft Textured Rubberised Back Case Cover For Tenor 10.or E -Light Blue,Jkobi,Tenor 10.or E",Y,415887,-0.4321080430935666
B07D5DZ1L6,MTT Hulk Infinity War Officially Licensed Armor Back Case Cover for Huawei P20 lite (Design 259),MTT Express,MTT,8.39,0,81.6,3.7,fulfilled_by_amazon,"MTT Hulk Infinity War Officially Licensed Armor Back Case Cover for Huawei P20 lite (Design 259),MTT",Y,2351200,-0.08347438251898846
B07VG47XDN,Pajo® Imported Mercury Wallet Flip Cover for Honor 6X (Blue & Green),Cool & Creative,PAJO,2.03,83,150.0,5.0,fulfilled_by_merchant,"Pajo® Imported Mercury Wallet Flip Cover for Honor 6X (Blue & Green),Pajo,Honor 6X",N,406150,-0.48589000525116943
B07XF2WC6S,CK With CaseKaro My Dad is My Hero Printed Cover for Redmi Note 7S | Hard Plastic Back Case (Black/Yellow),Casekaro,CK With CaseKaro,2.99,50,31.8,4.3,fulfilled_by_merchant,"CK With CaseKaro My Dad is My Hero Printed Cover for Redmi Note 7S | Hard Plastic Back Case (Black/Yellow),CK With CaseKaro,RedmiNote7S_RN7S-0365",N,453560,-0.4251480244614062
B019JYM32U,Techie Pavilion dv4-4140us Battery Compatible with HP CQ42 Laptop Battery,24x7shoponline,Techie,22.79,0,399.0,5.0,fulfilled_by_merchant,"Techie Pavilion dv4-4140us Battery Compatible with HP CQ42 Laptop Battery,Techie,For HP Pavilion dv4-4140us",N,195458,0.8276553293274588
B01FDKY8ZE,"Samsung Galaxy A50 Back Covers - mobbysol® Shockpoof Glassback Side Soft Bumper Case Cover for Samsung Galaxy A50/ A50s/ A30s (Samsung A50, Glass White)",Mobbysol Mobile Accessories,mobbysol,3.59,70,118.0,3.8,fulfilled_by_amazon,"Samsung Galaxy A50 Back Covers - mobbysol® Shockpoof Glassback Side Soft Bumper Case Cover for Samsung Galaxy A50/ A50s/ A30s (Samsung A50, Glass White),MSOL,VEBBC 17",Y,343081,-0.3871842864678043
B07T71KVG8,P088 360 Degree Adjustable Universal Car Mobile Phone Holder,Prime deal®,Prime deal,3.66,69,150.0,4.2,fulfilled_by_merchant,"P088 360 Degree Adjustable Universal Car Mobile Phone Holder,Prime deal,P088",Y,10469,-0.382755183701884
B07FYLT5CL,Leather Wallet Cases Cover with Card Slots Cash Pocket Stand Holder Magnet Closure for Samsung Galaxy S9 - Black,foresta,Generic,13.19,63,249.0,3.9,fulfilled_by_merchant,"Leather Wallet Cases Cover with Card Slots Cash Pocket Stand Holder Magnet Closure for Samsung Galaxy S9 - Black,Generic,MFLP051- Flip Cover Samsung S9",N,3307402,0.22023552142982722
B07XR9MS4K,ClickCase™ for Huawei Y9 Prime 2019 Blazer Series Cloth & Leather Wallet Flip Case Kick Stand with Magnetic Closure Flip Cover for Huawei Y9 Prime 2019 (Grey & Brown),ClickCase­­,ClickCase,5.99,62,90.7,4.5,fulfilled_by_merchant,"ClickCase™ for Huawei Y9 Prime 2019 Blazer Series Cloth & Leather Wallet Flip Case Kick Stand with Magnetic Closure Flip Cover for Huawei Y9 Prime 2019 (Grey & Brown),ClickCaseTM,Huawei Y9 Prime",Y,128567,-0.23532933449339635
B07MYJGRP3,YES2GOOD Soft Silicone Printed Rubber Back Cover for Girls 3D Hello Kitty Cartoon Mirror View Designer Back Cover for Oppo A57,PIHU FASHION WORLD,YES2GOOD,3.58,66,249.0,4.2,fulfilled_by_amazon,"YES2GOOD Soft Silicone Printed Rubber Back Cover for Girls 3D Hello Kitty Cartoon Mirror View Designer Back Cover for Oppo A57,YES2GOOD",Y,365278,-0.3878170154343643
B083Q59F4D,Haotop Solid Color Silicone Cover Case Compatible for Samsung Galaxy Buds(Headset Not Included) (Dark Black),Haotop,Haotop,8.39,0,49.9,4.0,fulfilled_by_amazon,"Haotop Solid Color Silicone Cover Case Compatible for Samsung Galaxy Buds(Headset Not Included) (Dark Black),Haotop",Y,170601,-0.08347438251898846
B01CN0XK60,DELL OEM P55F002 45w 19.5V 2.31A Laptop Charger,TPS Technologies,Dell,17.98,40,249.0,3.3,fulfilled_by_merchant,"DELL OEM P55F002 45w 19.5V 2.31A Laptop Charger,Dell Computers,P55F002",Y,53848,0.523312696412083
B07WPVYWBD,TheGiftKart Luxurious Toughened Glass Back Case with Shockproof TPU Bumper Back Case Cover for Realme 5 Pro (Black),TheGiftKart,TheGiftKart,3.59,73,18.1,4.1,fulfilled_by_amazon,"TheGiftKart Luxurious Toughened Glass Back Case with Shockproof TPU Bumper Back Case Cover for Realme 5 Pro (Black),TheGiftKart,Realme 5 Pro",Y,270176,-0.3871842864678043
B01K7IO8U2,SDO™ Military Grade Version 2.0 with Kick Stand Hybrid Back Cover Case for Samsung Galaxy J2 (2016 Edition) (Metal Grey),Sasti Deals,SDO,4.74,60,49.9,4.2,fulfilled_by_merchant,"SDO™ Military Grade Version 2.0 with Kick Stand Hybrid Back Cover Case for Samsung Galaxy J2 (2016 Edition) (Metal Grey),SDO,VER2KICKSTANDJ2(2016)GREYM",N,454969,-0.31442045531340046
B07ZBCD9KK,Sandstone® Apple iPhone 8 Plus/iPhone 7 Plus Case with Front Frame 360 Full Body Protective Back Cover Support Wireless Charging Heavy Duty Dropproof Case (Black/Clear),DG MING,Sandstone,9.59,68,99.8,4.1,fulfilled_by_merchant,"Sandstone® Apple iPhone 8 Plus/iPhone 7 Plus Case with Front Frame 360 Full Body Protective Back Cover Support Wireless Charging Heavy Duty Dropproof Case (Black/Clear),Sandstone,SUNSAND008",N,259960,-0.007546906531784568
B079WNP4PK,Pattern creations Polycarbonate Marble Printed Designer Slim Light Weight Back Cover for Mi Redmi Note 4 (White),vibrante,Pattern creations,1.14,92,99.8,3.8,fulfilled_by_merchant,"Pattern creations Polycarbonate Marble Printed Designer Slim Light Weight Back Cover for Mi Redmi Note 4 (White),Pattern Creations,pcbMRN4-1009",N,35176,-0.5422028832750123
B081T11F13,A rtistque Frameless case for Oppo F9 Pro Translucent Matte Texture Design Hard PC Back Cover Shock Bumper Corners with Free Metal Ring - Black,VM Ventures,A rtistque,3.47,59,99.8,4.1,fulfilled_by_merchant,"A rtistque Frameless case for Oppo F9 Pro Translucent Matte Texture Design Hard PC Back Cover Shock Bumper Corners with Free Metal Ring - Black,A rtistque,Art-framlesBlack-oppof9pro",Y,29562,-0.3947770340665246
B07VMJM78C,"Galaxy Note 10 Plus Rugged Clear Case, Poetic Full-Body Bumper Cover, Support Wireless Charging, Without Built-in-Screen Protector, Guardian, Case for Samsung Galaxy Note 10+ Plus 5G, Pink",Pulaidi India,Poetic,19.19,0,68.0,3.0,fulfilled_by_amazon,"Galaxy Note 10 Plus Rugged Clear Case, Poetic Full-Body Bumper Cover, Support Wireless Charging, Without Built-in-Screen Protector, Guardian, Case for Samsung Galaxy Note 10+ Plus 5G, Pink,Poetic,Guardian-Note10-Plus-Green",Y,246083,0.599872901365847
B07XWL2WFB,BuyFeb® Printed Motorola One Vision Mobile Soft Back Cover Case Compatible for Motorola One Vision,BuyFeb com,BuyFeb,1.79,85,31.8,3.0,fulfilled_by_merchant,"BuyFeb® Printed Motorola One Vision Mobile Soft Back Cover Case Compatible for Motorola One Vision,BuyFeb,Motorola One Vision",Y,497959,-0.5010755004486102
B07G4CYFSM,ERIT Samsung J8 2018 Back Case Cover Luxurious Toughened Glass Back Case with Shockproof TPU Bumper Samsung J8 (Black Glass),ERIT®,ERIT,3.47,82,40.8,3.6,fulfilled_by_merchant,"ERIT Samsung J8 2018 Back Case Cover Luxurious Toughened Glass Back Case with Shockproof TPU Bumper Samsung J8 (Black Glass),ERIT",Y,8359,-0.3947770340665246
B07YSPR1JY,TheMehra Full Body 3 in 1 Slim Fit 360 Degree Protection Hard Bumper Back Case Cover for Xiomi Redmi Note 5 Pro (All Black) [Limited Period Offer],TheMehra,TheMehra,3.56,70,36.3,4.4,fulfilled_by_merchant,"TheMehra Full Body 3 in 1 Slim Fit 360 Degree Protection Hard Bumper Back Case Cover for Xiomi Redmi Note 5 Pro (All Black) [Limited Period Offer],TheMehra,Xiomi Redmi Note 5 Pro",N,321302,-0.3890824733674843
B01NH4ZGJB,Cover Affair Quotes Printed Designer Hard PC Slim Light Weight Back Cover Case Compatible with Moto G4 / Motorola G4 (G4-D130),Cover_Affair,Cover Affair,4.78,43,31.8,5.0,fulfilled_by_merchant,"Cover Affair Quotes Printed Designer Hard PC Slim Light Weight Back Cover Case Compatible with Moto G4 / Motorola G4 (G4-D130),MotoG4_G4-D130",N,764762,-0.31188953944716036
B06XVNNL1W,Macmerise Licensed Marvel Comics Ironman Premium Printed Back Cover for Moto E3 Power (Multicolour),Macmerise Celfie Design Private Limited,Macmerise,5.39,36,99.8,5.0,fulfilled_by_merchant,"Macmerise Licensed Marvel Comics Ironman Premium Printed Back Cover for Moto E3 Power (Multicolour),Macmerise,MOCE3PSMM0920",Y,1065973,-0.27329307248699836
B07B4ZV75S,Logitech Rubber Mouse Pad (24x18CM__Purple),TRUSTMART,Logitech,1.49,38,90.7,3.3,fulfilled_by_merchant,"Logitech Rubber Mouse Pad (24x18CM__Purple),Logitech,LT005",N,4361,-0.5200573694454111
B07M6B1BZK,"DMG Back Cover for VIVO V11 Pro, Shockproof Rugged Hybrid Armor Kickstand Case for VIVO V11 Pro (Black Mesh)",Appario Retail Private Ltd,DMG,4.79,60,77.1,4.7,fulfilled_by_amazon,"DMG Back Cover for VIVO V11 Pro, Shockproof Rugged Hybrid Armor Kickstand Case for VIVO V11 Pro (Black Mesh),DMG,VivoV11ProMshKstndBlk",Y,172513,-0.31125681048060033
